source_id,source_title,source_type,source_authority,is_approved,is_active,is_customer_facing_allowed,approved_at,reviewed_by,needs_review_at,doc_type,product_area,issue_class,version_scope,escalation_risk,body
csv_demo_001,Loopline Password Reset,csv,canonical,true,true,false,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,faq,login,login,Loopline 2.x,low,"Loopline guidance for password reset. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_002,Loopline Mobile 403 Session Refresh,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,login,login,Loopline 2.x,medium,"Loopline guidance for mobile 403 session refresh. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_003,Loopline Billing Export Permissions,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,billing,billing,Loopline 2.x,medium,"Loopline guidance for billing export permissions. Use this customer-facing source when the question is about billing. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_004,Loopline Api Rate Limit Headers,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,api_reference,api,api,Loopline 2.x,low,"Loopline guidance for API rate limit headers. Use this customer-facing source when the question is about api. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_005,Loopline Webhook Retry Window,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,integrations,integrations,Loopline 2.x,medium,"Loopline guidance for webhook retry window. Use this customer-facing source when the question is about integrations. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_006,Loopline Stale Sso Mapping,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,known_issue,access,access,Loopline 2.x,high,"Loopline guidance for stale SSO mapping. Use this customer-facing source when the question is about access. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_007,Loopline Release 2.4 Routing Change,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,release_note,routing,routing,Loopline 2.x,low,"Loopline guidance for release 2.4 routing change. Use this customer-facing source when the question is about routing. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_008,Loopline Workspace Owner Transfer,csv,approved,true,true,false,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,permissions,permissions,Loopline 2.x,medium,"Loopline guidance for workspace owner transfer. Use this customer-facing source when the question is about permissions. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_009,Loopline Offline Mobile Queue,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,mobile,mobile,Loopline 2.x,medium,"Loopline guidance for offline mobile queue. Use this customer-facing source when the question is about mobile. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_010,Loopline Data Retention Request,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,compliance,compliance,Loopline 2.x,high,"Loopline guidance for data retention request. Use this customer-facing source when the question is about compliance. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_011,Loopline Password Reset,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,faq,login,login,Loopline 2.x,low,"Loopline guidance for password reset. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_012,Loopline Mobile 403 Session Refresh,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,login,login,Loopline 2.x,medium,"Loopline guidance for mobile 403 session refresh. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_013,Loopline Billing Export Permissions,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,billing,billing,Loopline 2.x,medium,"Loopline guidance for billing export permissions. Use this customer-facing source when the question is about billing. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_014,Loopline Api Rate Limit Headers,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,api_reference,api,api,Loopline 2.x,low,"Loopline guidance for API rate limit headers. Use this customer-facing source when the question is about api. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_015,Loopline Webhook Retry Window,csv,approved,true,true,false,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,integrations,integrations,Loopline 2.x,medium,"Loopline guidance for webhook retry window. Use this customer-facing source when the question is about integrations. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_016,Loopline Stale Sso Mapping,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,known_issue,access,access,Loopline 2.x,high,"Loopline guidance for stale SSO mapping. Use this customer-facing source when the question is about access. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_017,Loopline Release 2.4 Routing Change,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,release_note,routing,routing,Loopline 2.x,low,"Loopline guidance for release 2.4 routing change. Use this customer-facing source when the question is about routing. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_018,Loopline Workspace Owner Transfer,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,permissions,permissions,Loopline 2.x,medium,"Loopline guidance for workspace owner transfer. Use this customer-facing source when the question is about permissions. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_019,Loopline Offline Mobile Queue,csv,canonical,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,mobile,mobile,Loopline 2.x,medium,"Loopline guidance for offline mobile queue. Use this customer-facing source when the question is about mobile. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_020,Loopline Data Retention Request,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,compliance,compliance,Loopline 2.x,high,"Loopline guidance for data retention request. Use this customer-facing source when the question is about compliance. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_021,Loopline Password Reset,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,faq,login,login,Loopline 2.x,low,"Loopline guidance for password reset. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_022,Loopline Mobile 403 Session Refresh,csv,canonical,true,true,false,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,troubleshooting,login,login,Loopline 2.x,medium,"Loopline guidance for mobile 403 session refresh. Use this customer-facing source when the question is about login. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_023,Loopline Billing Export Permissions,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,policy,billing,billing,Loopline 2.x,medium,"Loopline guidance for billing export permissions. Use this customer-facing source when the question is about billing. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
csv_demo_024,Loopline Api Rate Limit Headers,csv,approved,true,true,true,2026-05-01T00:00:00+00:00,resolvekit-demo,2026-11-01T00:00:00+00:00,api_reference,api,api,Loopline 2.x,low,"Loopline guidance for API rate limit headers. Use this customer-facing source when the question is about api. Give concise steps, cite this source, and escalate only when the customer reports missing permissions, data loss, or repeated failure. Record product version, workspace ID, and timestamp before escalation."
